canonical,ad_name,spend,TD,hook_frame,master_frame,close_type,specificity,pain_target,production_cue,language,evidence_hook,evidence_close,evidence_names,evidence_pain,confidence,notes,notion_source,transcript_used
anz_fb_leads_conv_locations_australia_video_testimonial-rish,ANZ_FB_Leads_Conv_Locations_Australia_Video_Testimonial-Rishva_170226,78514,3,Behavioral-Outcome,Outcome-First,Free-Class,Named-child,"Confidence,Foundation",UGC-polished,English,Rishva child testimonial,Book a Free Class,Rishva,confidence grades tutor quality,Low,Rishva testimonial,english-testimonial-rishva-patel,no
w-naplan-boost-math,ANZ_PFX_FB_Leads-Conv_Australia_PayU_LeadGen_NA_Static_W-NAPLAN-Boost-Math_291225,77784,7,Academic-Outcome,Outcome-First,Free-Class,Anonymous,Competition-Prep,Static-Graphic,English,Boost NAPLAN Math,Book a Free Class,none,NAPLAN preparation,High,NAPLAN Boost static,name-only,no
is-your-child-preparing,USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_Math-Kangaroo_LeadGen_NA_Static-Is-your-child-preparing-051225,76158,3,Competition,Competition-Prep,Free-Class,Anonymous,Competition-Prep,Static-Graphic,English,Is your child preparing for Math Kangaroo?,Book a Free Class,none,Math Kangaroo preparation,High,Math Kangaroo prep static,name-only,no
anz_fb_leads_conv_lal-ql-0to2%_australia_video_influencer-mo,ANZ_FB_Leads_Conv_LAL-QL-0to2%_Australia_Video_Influencer-Montage_180326,75947,3,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,Personalization-Gap,UGC-polished,English,Multiple influencers endorse Cuemath,Book a Free Class,none,personalized attention,Low,Influencer montage,influencers-aus,no
usa_pfx_fb_leads_conv_lal_0-2%_engaged_priyanshul-2,USA_PFX_FB_Leads_Conv_LAL_0-2%_Engaged_Priyanshul-2_031125,73050,2,System-diagnosis,Memorization-vs-Understanding,Free-Class,Anonymous,Concept-Clarity,Static-Graphic,English,Concept Clarity Over Memorization,Book a Free Trial Class,Priyanshul is influencer,strong concepts not rote learning,High,Priyanshul-2 static cut,influencer-edit-priyanshul-ig,no
anz_fb_leads_conv_vernac-tamil_australia_video_testimonial-p,ANZ_FB_Leads_Conv_Vernac-Tamil_Australia_Video_Testimonial-Purnita-Tamil-Primary-Text_290126,71340,2,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Foundation,UGC-polished,Tamil,Purnita Tamil testimonial,Book a Free Class,Purnita,grades and school improvement,Low,Tamil vernac testimonial,none,no
anz_fb_leads_conv_india-expats_australia_video_testimonial-p,ANZ_FB_Leads_Conv_India-Expats_Australia_Video_Testimonial-Priyanka_280126,70885,2,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Confidence,UGC-polished,English,Priyanka parent testimonial,Book a Free Class,Priyanka D,parent peace of mind,Low,Priyanka D AUS testimonial,influencer-perf-edit-priyanka-d,no
anz_fb_leads_conv_lal-ql-0to2%_australia_video_tamil-parent-,ANZ_FB_Leads_Conv_LAL-QL-0to2%_Australia_Video_Tamil-Parent-Shoot-in-English_280126,70043,2,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,Foundation,UGC-polished,Tamil,Tamil parent testimonial in English,Book a Free Class,none,grades and foundation,Low,Tamil parent shoot,name-only,no
postboost_placement_targeting_video_anu,USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Placement_Targeting_Video_Anu_170326,69428,2,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,Confidence,UGC-polished,English,Anu influencer endorsement,Book a Free Class,Anu influencer,confidence and grades,Low,Anu influencer postboost,none,no
anz_fb_leads_conv_lal-payu_australia_video_testimonial-anush,ANZ_FB_Leads_Conv_LAL-PayU_Australia_Video_Testimonial-Anushree_170226,69237,2,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,"Confidence,Foundation",UGC-polished,English,Anushree parent testimonial,Book a Free Class,Anushree,confidence grades foundation,Low,Anushree AUS testimonial,none,no
anz-sg_fb_leads_conv_lal-payu_singapore_video_testimonial-mo,ANZ-SG_FB_Leads_Conv_LAL-PayU_Singapore_Video_Testimonial-Mohit-Kukreja_310126,68873,4,Enrichment,1-1-Personalization,Recommendation,Named-child,Engagement,Studio,English,We were looking for more of mathematics tutoring where they have more of creative thinking,I will 100% recommend Cuemath,Agam,He loves that challenge,High,Mohit Kukreja Singapore cut,mohit-kukreja-australia-testimonial,yes
anz-uk_fb_leads_conv_payu_uk_video_testimonial-gunjan-video-,ANZ-UK_FB_Leads_Conv_PayU_UK_Video_Testimonial-Gunjan-Video-V2_030326,67775,3,Behavioral-Outcome,Outcome-First,Offer-led,Named-parent,"Confidence,Foundation",UGC-polished,English,Gunjan parent testimonial,promotional offer,Gunjan,grades and confidence,Medium,Gunjan UK testimonial with promo,name-only,no
anz_fb_leads_conv_lal-payu_australia_video_testimonial-robin,ANZ_FB_Leads_Conv_LAL-PayU_Australia_Video_Testimonial-Robin-Wife_110226,67718,3,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Confidence,UGC-polished,English,Robin's wife parent testimonial,Book a Free Class,Robin's wife,parent peace of mind,Low,Australia Robin Wife testimonial,australia-testimonial-recording-english-robin-wife,no
anz_fb_leads_conv_parents-all-pri+sec_australia_video_naplan,ANZ_FB_Leads_Conv_Parents-All-Pri+Sec_Australia_Video_NAPLAN-Testimonial-Vishal_020326,67077,3,Academic-Outcome,Outcome-First,Free-Class,Named-child,Competition-Prep,UGC-polished,English,He always is in the accelerated pathways,Book a Free Class,Vishal Sharma,top of his peer group in NAPLAN,High,Vishal NAPLAN testimonial,english-testimonial-vishal-sharma-naplan,yes
anz-sg_fb_leads_conv_int4c_singapore_video_tamil-parent-shoo,ANZ-SG_FB_Leads_Conv_int4C_Singapore_Video_Tamil-Parent-Shoot-in-English_050226,66919,3,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,Foundation,Studio,Tamil,Tamil parent testimonial in English,Book a Free Class,none,grades and foundation,Low,Tamil parent shoot,name-only,no
usa_akt_fb_leads_conv_int_expats-telugu_35-55_leadgen_telugu,USA_AKT_FB_Leads_Conv_Int_Expats-Telugu_35-55_LeadGen_Telugu_Creatives_Telugu_copy_Static_Balamaina_Math_Foundation_150126,66463,2,Cultural,Cultural-Relatability,Free-Class,Anonymous,Foundation,Static-Graphic,Telugu,Balamaina (strong) math foundation,Book a Free Class,none,strong math foundations Telugu,Medium,Telugu vernac static,name-only,no
english_testimonial_shalini_dropati,USA_FB_Leads_Conv_LAL_PayU_New_Audience_35-55_New_English_Generic_LeadGen_NA_Video_English_Testimonial_Shalini_Dropati_180226,66334,3,Child-diagnosis,Top-Tutors,Free-Class,Named-child,Confidence,UGC-polished,English,Is your child struggling to stay focused in math class?,Book a Free Class,Shalini Tripathi,feel more confident over time,High,Shalini Dropati testimonial,english-testimonial-shalini-dropati,yes
anz_fb_leads_conv_bollywood_australia_static_y-testimonial-v,ANZ_FB_Leads_Conv_Bollywood_Australia_Static_Y-Testimonial-Vishal_150326,66059,3,Academic-Outcome,Outcome-First,Free-Class,Named-child,Competition-Prep,Static-Graphic,English,He always is in the accelerated pathways,Book a Free Class,Vishal Sharma,top of his peer group in NAPLAN,High,Vishal NAPLAN static,english-testimonial-vishal-sharma-naplan,yes
australia-english-testimonial-05-nov-2025,MEA_AKT_FB_Leads_Conv_Cities_Int_Premium_Brands-New-Creatives-35-55_LeadGen_NA_Video-Australia-English-Testimonial-05-Nov-2025,63802,2,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,Confidence,UGC-polished,English,Australia parent testimonial,Book a Free Class,none,confidence and progress,Low,Australia testimonial reused for MEA,none,no
anz_fb_leads_conv_int-parents_australia_video_influencer-sah,ANZ_FB_Leads_Conv_int-Parents_Australia_Video_Influencer-Sahar_090426,63286,3,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,Confidence,UGC-polished,English,Sahar influencer endorsement,Book a Free Class,Sahar influencer,confidence and engagement,Low,Sahar AUS influencer,influencer-perf-edit-sahar,no
anz_fb_leads_conv_locations_australia_static_w-naplan-boost-,ANZ_FB_Leads_Conv_Locations_Australia_Static_W-NAPLAN-Boost-Math_060226,63269,2,Academic-Outcome,Outcome-First,Free-Class,Anonymous,Competition-Prep,Static-Graphic,English,Boost NAPLAN Math,Book a Free Class,none,NAPLAN preparation,High,NAPLAN Boost static,name-only,no
testimonial-aus-parent,ANZ_PFX_FB_Leads-Conv_Australia_LAL-0to2%_ShortForm-LP-Signup_NA_Video_Testimonial-Aus-Parent_020126,61515,2,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,Foundation,UGC-polished,English,Australia parent testimonial,Book a Free Class,none,grades and school,Low,AUS parent testimonial,none,no
anz_fb_leads_conv_int4c_australia_video_testimonial-lakshmi,ANZ_FB_Leads_Conv_int4C_Australia_Video_Testimonial-Lakshmi_060426,61068,3,Enrichment,Top-Tutors,Free-Class,Named-parent,Foundation,UGC-polished,English,we want math and science to be our strong suits,Book a Free Class,Lakshmi,Trigonometry — she needs more time,High,Lakshmi (Norway) testimonial,none,yes
anz_fb_leads_conv_razorpay_australia_video_testimonial-arti,ANZ_FB_Leads_Conv_Razorpay_Australia_Video_Testimonial-Arti_180426,60138,2,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Confidence,UGC-polished,English,Arti parent testimonial,Book a Free Class,Arti,confidence and progress,Low,Arti UGC testimonial,none,no
anz_fb_leads_conv_lal-ql-0to2%_australia_static_y-testimonia,ANZ_FB_Leads_Conv_LAL-QL-0to2%_Australia_Static_Y-Testimonial-Vishal_090326,59886,3,Academic-Outcome,Outcome-First,Free-Class,Named-child,Competition-Prep,UGC-polished,English,He always is in the accelerated pathways,Book a Free Class,Vishal Sharma,top of his peer group in NAPLAN,High,Vishal NAPLAN static,english-testimonial-vishal-sharma-naplan,yes
anz_fb_leads_conv_vernac-telugu_australia_video_testimonial-,ANZ_FB_Leads_Conv_Vernac-Telugu_Australia_Video_Testimonial-Sravanthi-Telugu-Primary-Text_290126,59861,2,Academic-Outcome,Outcome-First,Free-Class,Named-parent,Foundation,UGC-polished,Telugu,Sravanthi Telugu testimonial,Book a Free Class,Sravanthi Kintali,At the grade level our children have improved a lot,Medium,Sravanthi Telugu testimonial; in Madhavi transcript,name-only,yes
anz_fb_leads_conv_int-parenting_australia_video_testimonial-,ANZ_FB_Leads_Conv_Int-Parenting_Australia_Video_Testimonial-Gunjan-Video-V2_050126,58319,2,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Confidence,UGC-polished,English,Gunjan parent testimonial,Book a Free Class,Gunjan,parent peace of mind,Medium,Gunjan AUS testimonial,name-only,no
static_chinese_ace_math_competition,Static_Chinese_Ace_math_competition_030426,55559,2,Cultural,Competition-Prep,Free-Class,Anonymous,Competition-Prep,Static-Graphic,English,Ace Math Competition (Chinese),Book a Free Class,none,competition prep,Medium,Chinese-targeted competition static,name-only,no
strong-math-foundations-v2,MEA_AKT_FB_Leads_Conv_Dubai_Premium_Ecom_Brands_LP_Signup_NA_Static-Strong-Math-Foundations-V2-100226,55509,3,Enrichment,Top-Tutors,Free-Class,Anonymous,Foundation,Static-Graphic,English,Strong Math Foundations,Book a Free Class,none,strong math foundations,Medium,MEA Strong Foundations V2,name-only,no
perf_telegu_influencer_keerthi_us,USA_FB_Leads_Conv_PayU_LAL_New_Audience_Signup_New_BAU_NRI_LP_Influencer_Perf_Edit_NA_Video_Perf_Telegu_Influencer_Keerthi_US_250326,53884,2,System-diagnosis,1-1-Personalization,Free-Class,Named-both,"Personalization-Gap,Competition-Prep",UGC-polished,English,Worried your child isn't getting enough attention in large online math classes?,Book a Free Trial Class,Nisha Shah... Sunil,with preparation for competitions like AMC 8 and Math Kangaroo,High,Keerthi US perf cut,perf-telegu-influencer-keerthi-us,yes
anz-uk_fb_leads_conv_iindian-expats_singapore_video_cuemath-,ANZ-UK_FB_Leads_Conv_iIndian-Expats_Singapore_Video_Cuemath-Hero-5-21s_100226,53801,2,Future-readiness,MathFit,Free-Class,Anonymous,Concept-Clarity,Animated,English,Cuemath hero brand video,Book a Free Class,none,builds thinking and concepts,Medium,Brand hero,name-only,no
anz_fb_leads_conv_lal-0to2%-allqls-v2_australia_video_testim,ANZ_FB_Leads_Conv_LAL-0to2%-AllQLs-V2_Australia_Video_Testimonial-Gunjan-V2_050126,53340,3,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Confidence,UGC-polished,English,Gunjan parent testimonial,Book a Free Class,Gunjan,confidence and grades,Medium,Gunjan AUS testimonial V2,name-only,no
english_testimonial_grade2_likita,USA_FB_Leads_Conv_PayU_New_Audience_35-55_English_Testimonials_Part2_LeadGen_NA_Video_English_Testimonial_Grade2_Likita_090426,52849,3,Enrichment,Top-Tutors,Free-Class,Named-child,Competition-Prep,UGC-polished,English,She was doing good but we wanted her to enroll in competitive maths like Math Kangaroo,Book a Free Trial Class,Swara,preparing for competitive math like Math Kangaroo,High,Likita Grade 2 testimonial,english-testimonial-grade-2-likita,yes
anz_fb_leads_conv_vernac-tamil_australia_video_testimonial-k,ANZ_FB_Leads_Conv_Vernac-Tamil_Australia_Video_Testimonial-Kaviya-Tamil-Primary-Text_290126,51404,2,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Foundation,UGC-polished,Tamil,Kaviya Tamil testimonial,Book a Free Class,Kaviya,grades and school improvement,Low,Tamil vernac testimonial,tamil-testimonial-kaviya-g,no
static_y-ch-family,Static_Y-Ch-Family_230226,49852,2,Cultural,Cultural-Relatability,Free-Class,Anonymous,Foundation,Static-Graphic,English,Chinese family static,Book a Free Class,none,strong math foundations,Low,Chinese PLA family static,name-only,no
christmas-ho-ho-ho,Mea_PFX_FB_Leads-Conv_NA_Int-Female_LeadGen_NA_Static-Christmas-Ho-Ho-Ho-051225,48843,2,Cultural,Cultural-Relatability,Offer-led,Anonymous,Foundation,Static-Graphic,English,Christmas Ho Ho Ho promo,Christmas promotional offer,none,Christmas pricing offer,Low,Christmas seasonal static,name-only,no
anz_fb_leads_conv_int-parents_australia_video_kids-rapid-fir,ANZ_FB_Leads_Conv_int-Parents_Australia_Video_Kids-Rapid-Fire_090426,48212,2,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,Engagement,UGC-polished,English,Kids rapid fire shoot,Book a Free Class,none,fun and engagement,Medium,Kids rapid-fire shoot,kids-rapid-fire-centre-shoot,no
anz_fb_leads_conv_lal-payu_australia_video_testimonial-minal,ANZ_FB_Leads_Conv_LAL-PayU_Australia_Video_Testimonial-Minal_250226,47537,2,Child-diagnosis,1-1-Personalization,Recommendation,Named-child,"Confidence,Personalization-Gap",UGC-polished,English,my daughter has less confidence,I definitely recommend my friends and family to join Cuemath,Minal Patel,my daughter needed more personalized attention,High,Minal Patel testimonial,english-testimonial-minal-patel,yes
english_testimonial_anushree_jain,USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_New_English_Generic_LeadGen_NA_Video_English_Testimonial_Anushree_Jain_180226,47231,2,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,"Speed-Accuracy,Foundation",UGC-polished,English,He calculate very fast,Book a Free Class,Anushree Jain,he knows how to convert kilogram and gram he grabs it very quickly,High,Anushree Jain testimonial,english-testimonial-anushree-jain,yes
testimonial_tripura_shankar,USA_FB_Leads_Conv_Razorpay_NRI_Audience_35-55_English_Testimonials_Part2_LeadGen_NA_Video_Testimonial_Tripura_Shankar_070426,47066,2,System-diagnosis,1-1-Personalization,Free-Class,Named-child,"Personalization-Gap,Foundation",UGC-polished,English,Before Cuemath we have tried Kumon Mathnasium which we felt was not kid specific,Book a Free Class,Anaisha,Cuemath's one-to-one focus helped my kid focus better,High,Tripura Shankar testimonial,k-2-testimonial-tripura-shankar,yes
anz_fb_leads_conv_parents-all-pri+sec_australia_static_w-nap,ANZ_FB_Leads_Conv_Parents-All-Pri+Sec_Australia_Static_W-NAPLAN-Boost-Math_290126,45782,3,Academic-Outcome,Outcome-First,Free-Class,Anonymous,Competition-Prep,Static-Graphic,English,Boost NAPLAN Math,Book a Free Class,none,NAPLAN preparation,High,NAPLAN Boost static,name-only,no
anz_fb_leads_conv_expats-india_australia_video_naplan-review,ANZ_FB_Leads_Conv_Expats-India_Australia_Video_NAPLAN-Review-Static-Based_060426,42442,2,Academic-Outcome,Outcome-First,Free-Class,Anonymous,Competition-Prep,Static-Graphic,English,NAPLAN review static-based,Book a Free Class,none,NAPLAN preparation,High,NAPLAN review video,naplan-review-video-static-based,no
anz-nz_fb_leads_conv_parents-pri+sec_australia_form_video_te,ANZ-NZ_FB_Leads_Conv_Parents-Pri+Sec_Australia_Form_Video_Testimonial-Manish_280126,41831,2,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Foundation,UGC-polished,English,Manish parent testimonial,Book a Free Class,Manish,grades and foundation,Low,Manish AUS testimonial,manish-english-testimonial-australia-recording,no
anz_fb_leads_conv_int-parenting_australia_static_naplan-chin,ANZ_FB_Leads_Conv_Int-Parenting_Australia_Static_NAPLAN-Chinese_050126,41648,2,Cultural,Cultural-Relatability,Free-Class,Anonymous,Competition-Prep,Static-Graphic,English,NAPLAN Chinese-targeted static,Book a Free Class,none,NAPLAN preparation,Medium,Chinese-targeted NAPLAN static,name-only,no
anz_fb_leads_conv_lal-payu_australia_video_mother-video-v2,ANZ_FB_Leads_Conv_LAL-PayU_Australia_Video_Mother-Video-V2_290126,41095,3,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,"Confidence,Foundation",UGC-polished,English,Mother video V2,Book a Free Class,none,confidence grades parent peace,Low,Mother video,name-only,no
anz_fb_leads_conv_lal-payu_australia_video_testimonial-priya,ANZ_FB_Leads_Conv_LAL-PayU_Australia_Video_Testimonial-Priyanka_110226,38373,2,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Foundation,UGC-polished,English,Priyanka parent testimonial,Book a Free Class,Priyanka D,grades and school,Low,Priyanka D testimonial,influencer-perf-edit-priyanka-d,no
video_chinese-hero-28s,Video_Chinese-Hero-28s_280126,38334,2,Cultural,Cultural-Relatability,Free-Class,Anonymous,Foundation,Studio,Mandarin,Chinese hero video,Book a Free Class,none,strong math foundations,Low,Chinese hero studio,name-only,no
anz_fb_leads_conv_locations_australia_video_testimonial-gunj,ANZ_FB_Leads_Conv_Locations_Australia_Video_Testimonial-Gunjan-Video-V2_060226,35719,2,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Confidence,Studio,English,Gunjan parent testimonial,Book a Free Class,Gunjan,parent peace of mind,Medium,Gunjan AUS testimonial,name-only,no
anz-sg_fb_leads_conv_int4c_singapore_static_strong-maths-fou,ANZ-SG_FB_Leads_Conv_int4C_Singapore_Static_Strong-Maths-Foundations_110226,32226,2,Enrichment,Top-Tutors,Free-Class,Anonymous,Foundation,Static-Graphic,English,Strong Math Foundations,Book a Free Class,none,strong math foundations,Medium,SG Strong Foundations static,name-only,no
anz-sg_fb_leads_conv_lal-payu_singapore_video_testimonial2-r,ANZ-SG_FB_Leads_Conv_LAL-PayU_Singapore_Video_Testimonial2-Rishva_260226,31972,2,Behavioral-Outcome,Outcome-First,Free-Class,Named-child,"Confidence,Foundation",UGC-polished,English,Rishva child testimonial,Book a Free Class,Rishva,confidence and grades,Low,Rishva SG testimonial,english-testimonial-rishva-patel,no
influencer_perf_edit_shweta_negi,USA_FB_Leads_Conv_Expats_NRI_Audience_Signup_LP_Influencer_Perf_Edit_NA_Video_Influencer_Perf_Edit_Shweta_Negi_250326,29769,2,Behavioral-Outcome,Outcome-First,Free-Class,Anonymous,Personalization-Gap,UGC-polished,English,Shweta Negi influencer endorsement,Book a Free Class,Shweta Negi influencer,personalized attention,Medium,Shweta Negi perf cut,perf-cut-shweta-negi,no
anz_fb_leads_conv_rm-combined_australia_video_testimonial-gu,ANZ_FB_Leads_Conv_RM-Combined_Australia_Video_Testimonial-Gunjan-Video-V2_050126,29745,3,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Confidence,Studio,English,Gunjan parent testimonial,Book a Free Class,Gunjan,confidence grades parent peace,Medium,Gunjan AUS retargeting testimonial,name-only,no
brand-mission-27s,MEA_AKT_FB_Leads_Conv_UAE_High_Intent_Targeting_Signup_LP_NA_Video_Brand-Mission-27s_080226,29520,2,Future-readiness,MathFit,Free-Class,Anonymous,Concept-Clarity,Static-Graphic,English,Brand Mission 27s,Book a Free Class,none,builds thinking and concepts,Medium,MEA brand mission video,name-only,no
english-testimonial-kasi-madi-25s,CAN_FB_Leads_Conv_Expats_34-55_Signup_Old_LP_NA_Video_English-Testimonial-Kasi-Madi-25s_020126,26008,2,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Confidence,UGC-polished,English,Kasi Madi parent testimonial,Book a Free Class,Kasi Madi,parent peace of mind,Low,Canada Kasi Madi testimonial,none,no
strong-math-foundations,USA_FB_Leads_Conv_LAL_Enrolled_35-55_Republic_Day_LeadGen_NA_Static-strong-math-foundations-200126,24325,2,Enrichment,Top-Tutors,Free-Class,Anonymous,Foundation,Static-Graphic,English,Strong Math Foundations,Book a Free Class,none,strong math foundations,High,Republic Day Strong Foundations static,name-only,no
static_accelerate_toward_ap_calculus_bc,USA_FB_Leads_Conv_CTF_LAL_Enrolled_Signup_LP_Static_Accelerate_Toward_AP_Calculus_BC_180326,22015,3,Academic-Outcome,Top-Tutors,Free-Class,Anonymous,"Late-Stage-HS,Topic-Calculus",Static-Graphic,English,Accelerate Toward AP Calculus BC,Book a Free Class,none,AP Calculus BC mastery,High,High school AP Calculus static,name-only,no
anz_fb_leads_conv_parents-all-pri+sec_australia_static_w-tes,ANZ_FB_Leads_Conv_Parents-All-Pri+Sec_Australia_Static_W-Testimonial-NAPLAN_290126,19070,2,Academic-Outcome,Outcome-First,Free-Class,Anonymous,Competition-Prep,Static-Graphic,English,NAPLAN testimonial static,Book a Free Class,none,NAPLAN preparation,High,,name-only,no
anz-nz_fb_leads_conv_payu_new-zealand_video_new-hero-4,ANZ-NZ_FB_Leads_Conv_PayU_New-Zealand_Video_New-Hero-4_110226,12462,2,Future-readiness,MathFit,Free-Class,Anonymous,Concept-Clarity,Animated,English,New Hero Video 4,Book a Free Class,none,builds thinking and concepts,Medium,New hero video 4,new-hero-video-4,no
